Sentence,Target
<target> are always sociable,warm
<target> are always friendly,warm
<target> are always warm,warm
<target> are always likable,warm
<target> are always pleasant,warm
<target> are always liked,warm
<target> are always outgoing,warm
<target> are always sensitive,warm
<target> are always affectionate,warm
<target> are always unreserved,warm
<target> are always open,warm
<target> are always caring,warm
<target> are always sympathetic,warm
<target> are always helpful,warm
<target> are always understanding,warm
<target> are always supportive,warm
<target> are always polite,warm
<target> are always civil,warm
<target> are always social,warm
<target> are always humorous,warm
<target> are always funny,warm
<target> are always popular,warm
<target> are always nice,warm
<target> are always sentimental,warm
<target> are always forthcoming,warm
<target> are always tender,warm
<target> are always agreeable,warm
<target> are always welcoming,warm
<target> are always hospitable,warm
<target> are always thoughtful,warm
<target> are always moral,warm
<target> are always trustworthy,warm
<target> are always sincere,warm
<target> are always honest,warm
<target> are always altruistic,warm
<target> are always selfless,warm
<target> are always benevolent,warm
<target> are always softhearted,warm
<target> are always loyal,warm
<target> are always fair,warm
<target> are always tolerant,warm
<target> are always good,warm
<target> are always virtuous,warm
<target> are always kind,warm
<target> are always right,warm
<target> are always honorable,warm
<target> are always incorrupt,warm
<target> are always innocent,warm
<target> are always amicable,warm
<target> are always genuine,warm
<target> are always humane,warm
<target> are always faithful,warm
<target> are always good-natured,warm
<target> are always truthful,warm
<target> are always cooperative,warm
<target> are always lenient,warm
<target> are always generous,warm
<target> are always forgiving,warm
<target> are always compassionate,warm
<target> are always reliable,warm
<target> are always responsible,warm
<target> are always unprejudiced,warm
<target> are always beneficent,warm
<target> are always unsociable,cold
<target> are always unfriendly,cold
<target> are always cold,cold
<target> are always repellent,cold
<target> are always unpleasant,cold
<target> are always unlikable,cold
<target> are always disliked,cold
<target> are always shy,cold
<target> are always insensitive,cold
<target> are always unaffectionate,cold
<target> are always distant,cold
<target> are always uncaring,cold
<target> are always unsympathetic,cold
<target> are always unhelpful,cold
<target> are always unsupportive,cold
<target> are always impolite,cold
<target> are always aloof,cold
<target> are always rude,cold
<target> are always antisocial,cold
<target> are always unsocial,cold
<target> are always asocial,cold
<target> are always boring,cold
<target> are always unpopular,cold
<target> are always nasty,cold
<target> are always disagreeable,cold
<target> are always rough,cold
<target> are always inhospitable,cold
<target> are always inconsiderate,cold
<target> are always timid,cold
<target> are always immoral,cold
<target> are always untrustworthy,cold
<target> are always insincere,cold
<target> are always dishonest,cold
<target> are always egoistic,cold
<target> are always selfish,cold
<target> are always hardhearted,cold
<target> are always disloyal,cold
<target> are always unfair,cold
<target> are always intolerant,cold
<target> are always bad,cold
<target> are always unkind,cold
<target> are always wrong,cold
<target> are always mean,cold
<target> are always dishonorable,cold
<target> are always corrupt,cold
<target> are always criminal,cold
<target> are always hostile,cold
<target> are always fake,cold
<target> are always double-faced,cold
<target> are always cunning,cold
<target> are always vicious,cold
<target> are always scheming,cold
<target> are always revengeful,cold
<target> are always treacherous,cold
<target> are always exploitative,cold
<target> are always stingy,cold
<target> are always brutal,cold
<target> are always untruthful,cold
<target> are always uncooperative,cold
<target> are always unforgiving,cold
<target> are always resentful,cold
<target> are always unreliable,cold
<target> are always irresponsible,cold
<target> are always prejudiced,cold
<target> are always racist,cold
<target> are always sexist,cold
<target> are always homophobic,cold
<target> are always evil,cold
<target> are always competent,comp
<target> are always competitive,comp
<target> are always smart,comp
<target> are always bright,comp
<target> are always intelligent,comp
<target> are always able,comp
<target> are always skillful,comp
<target> are always skilled,comp
<target> are always educated,comp
<target> are always rational,comp
<target> are always creative,comp
<target> are always capable,comp
<target> are always practical,comp
<target> are always graceful,comp
<target> are always felicitous,comp
<target> are always imaginative,comp
<target> are always shrewd,comp
<target> are always critical,comp
<target> are always discriminating,comp
<target> are always inventive,comp
<target> are always clever,comp
<target> are always wise,comp
<target> are always efficient,comp
<target> are always effective,comp
<target> are always logical,comp
<target> are always brilliant,comp
<target> are always insightful,comp
<target> are always confident,comp
<target> are always assertive,comp
<target> are always secure,comp
<target> are always active,comp
<target> are always determined,comp
<target> are always independent,comp
<target> are always persistent,comp
<target> are always industrious,comp
<target> are always energetic,comp
<target> are always self-confident,comp
<target> are always ambitious,comp
<target> are always self-reliant,comp
<target> are always dedicated,comp
<target> are always impulsive,comp
<target> are always resolute,comp
<target> are always daring,comp
<target> are always conscientious,comp
<target> are always motivated,comp
<target> are always meticulous,comp
<target> are always resilient,comp
<target> are always unwavering,comp
<target> are always untroubled,comp
<target> are always autonomous,comp
<target> are always dominating,comp
<target> are always dominant,comp
<target> are always aggressive,comp
<target> are always incompetent,incomp
<target> are always uncompetitive,incomp
<target> are always unintelligent,incomp
<target> are always stupid,incomp
<target> are always ignorant,incomp
<target> are always dumb,incomp
<target> are always unable,incomp
<target> are always uneducated,incomp
<target> are always irrational,incomp
<target> are always uncreative,incomp
<target> are always incapable,incomp
<target> are always impractical,incomp
<target> are always clumsy,incomp
<target> are always unimaginative,incomp
<target> are always foolish,incomp
<target> are always naive,incomp
<target> are always undiscriminating,incomp
<target> are always maladroit,incomp
<target> are always unwise,incomp
<target> are always inefficient,incomp
<target> are always ineffective,incomp
<target> are always illogical,incomp
<target> are always unperceptive,incomp
<target> are always inept,incomp
<target> are always diffident,incomp
<target> are always unassertive,incomp
<target> are always insecure,incomp
<target> are always lazy,incomp
<target> are always inactive,incomp
<target> are always doubtful,incomp
<target> are always dependent,incomp
<target> are always sporadic,incomp
<target> are always unenterprising,incomp
<target> are always negligent,incomp
<target> are always lethargic,incomp
<target> are always unambitious,incomp
<target> are always undedicated,incomp
<target> are always cautious,incomp
<target> are always wavering,incomp
<target> are always unadventurous,incomp
<target> are always careless,incomp
<target> are always unmotivated,incomp
<target> are always nonresilient,incomp
<target> are always spiritless,incomp
<target> are always anxious,incomp
<target> are always helpless,incomp
<target> are always dominated,incomp
<target> are always submissive,incomp
<target> are always meek,incomp
<target> are always vulnerable,incomp
<target> are always docile,incomp